"","index_0","sample","value"
"177",0,88,119.070583574762
"178",1,88,200.344138542436
"179",0,89,117.814420557276
"180",1,89,202.849571417058
"181",0,90,120.305161582333
"182",1,90,200.856526789623
"183",0,91,119.12199150951
"184",1,91,199.010035016456
"185",0,92,123.64500545514
"186",1,92,201.376928892903
"187",0,93,121.983109547281
"188",1,93,201.300286140004
"189",0,94,123.779652217931
"190",1,94,203.579526062245
"191",0,95,129.641870590962
"192",1,95,203.359695726468
"193",0,96,130.117144061717
"194",1,96,201.777479447184
"195",0,97,123.545103637999
"196",1,97,199.868128919412
"197",0,98,125.494175117333
"198",1,98,203.211495697581
"199",0,99,126.299156385645
"200",1,99,208.282938187633
"201",0,100,129.433075371675
"202",1,100,204.563640064339
"203",0,101,133.298575281431
"204",1,101,201.620938674146
"205",0,102,133.165209092161
"206",1,102,202.166368291471
"207",0,103,137.617484515623
"208",1,103,205.644647422036
"209",0,104,134.182963479897
"210",1,104,204.685872018946
"211",0,105,148.341695186762
"212",1,105,204.468779950319
"213",0,106,144.465533981781
"214",1,106,207.2208267159
"215",0,107,150.295420454422
"216",1,107,206.649078641209
"217",0,108,144.998573272378
"218",1,108,209.08632833037
"219",0,109,151.798359735551
"220",1,109,207.06693212225
"221",0,110,141.595795328438
"222",1,110,210.763784051544
"223",0,111,147.659656172278
"224",1,111,206.273310341882
"225",0,112,147.78375325805
"226",1,112,204.767537367411
"227",0,113,140.995485486247
"228",1,113,205.811147114736
"229",0,114,149.867844684061
"230",1,114,204.731821157185
"231",0,115,144.996411644895
"232",1,115,203.154848052837
"233",0,116,135.866762829362
"234",1,116,201.123722964689
"235",0,117,140.571042007647
"236",1,117,204.585584957375
"237",0,118,137.380276963966
"238",1,118,203.193369964742
"239",0,119,135.669238709857
"240",1,119,202.681957585543
"241",0,120,130.38654289858
"242",1,120,204.834370157244
"243",0,121,130.530259793181
"244",1,121,203.336684295484
"245",0,122,132.622460174753
"246",1,122,203.339202299112
"247",0,123,132.708273506507
"248",1,123,205.155367922877
"249",0,124,128.095593534285
"250",1,124,202.42184046474
"251",0,125,127.86996220187
"252",1,125,199.222022068125
"253",0,126,126.611841124636
"254",1,126,203.625251156733
"255",0,127,128.659677283042
"256",1,127,201.545713999224
"257",0,128,121.552255953336
"258",1,128,204.571908611453
"259",0,129,120.420261504987
"260",1,129,199.639257652954
"261",0,130,132.010657721463
"262",1,130,204.830047244225
"263",0,131,126.074000861804
"264",1,131,203.274101721809
"265",0,132,128.420124986792
"266",1,132,204.956605821805
"267",0,133,131.728483103744
"268",1,133,200.271106109988
"269",0,134,125.606402374723
"270",1,134,201.757331384867
"271",0,135,133.047507694805
"272",1,135,208.302017845271
"273",0,136,130.358513526883
"274",1,136,205.01220496733
"275",0,137,131.742829218437
"276",1,137,202.876781001389
"277",0,138,133.565994830475
"278",1,138,201.274411171188
"279",0,139,131.061409402776
"280",1,139,201.7378160706
"281",0,140,134.004727446118
"282",1,140,202.984844212255
"283",0,141,134.55495066385
"284",1,141,202.246271097058
"285",0,142,128.274723548679
"286",1,142,203.666843569901
"287",0,143,129.304348287404
"288",1,143,200.809687468986
"289",0,144,130.668689636434
"290",1,144,198.750363390845
"291",0,145,123.736391559527
"292",1,145,202.765366298267
"293",0,146,128.628996335448
"294",1,146,201.076913807047
"295",0,147,123.102541091671
"296",1,147,198.796248157143
"297",0,148,117.35599423883
"298",1,148,195.140700531359
"299",0,149,112.569993389292
"300",1,149,197.877190858741
"301",0,150,116.514951587905
"302",1,150,196.773440712339
"303",0,151,116.797862678382
"304",1,151,197.934027067155
"305",0,152,119.627267912513
"306",1,152,193.550726931077
"307",0,153,118.394190715689
"308",1,153,199.579966474639
"309",0,154,116.513821913713
"310",1,154,198.019403981003
"311",0,155,115.253751223407
"312",1,155,200.531388308156
"313",0,156,118.674058726708
"314",1,156,203.495550818334
"315",0,157,115.618967059441
"316",1,157,200.821880305435
"317",0,158,115.74840721622
"318",1,158,196.979373227558
"319",0,159,118.243933135431
"320",1,159,197.811407870333
"321",0,160,117.217528141484
"322",1,160,198.457515957564
"323",0,161,121.968313298024
"324",1,161,197.956001575679
"325",0,162,117.829621522854
"326",1,162,198.468835405984
"327",0,163,117.516449826614
"328",1,163,199.025019182531
"329",0,164,121.244456560534
"330",1,164,201.038372980028
"331",0,165,117.553393173872
"332",1,165,200.645743968938
"333",0,166,120.418679421622
"334",1,166,202.238875925997
"335",0,167,123.597964675355
"336",1,167,202.187455032855
"337",0,168,129.946061966043
"338",1,168,199.44508223703
"339",0,169,119.860461556335
"340",1,169,200.703566592454
"341",0,170,120.569391357888
"342",1,170,202.519179898556
"343",0,171,126.46722400869
"344",1,171,203.228982420134
